country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,Suzano Papel Celulose,Suzano Papel e Celulose SA,BRSUZBACNOR0,BRL,SUZB3,ON,4498815.0,strong_buy
brazil,BRASKEM PNA,Braskem SA,BRBRKMACNPA4,BRL,BRKM5,PNA,3761648.0,hold
brazil,ECORODOVIAS ON,EcoRodovias SA,BRECORACNOR8,BRL,ECOR3,ON,3745515.0,buy
brazil,YDUQS Part ON,YDUQS Part ON,BRYDUQACNOR3,BRL,YDUQ3,ON,3566023.0,buy
brazil,Recrusul Pref,Recrusul SA Pref,BRRCSLACNPR1,BRL,RCSL4,PN,3508379.0,none
brazil,BRADESPAR PN,Bradespar SA,BRBRAPACNPR2,BRL,BRAP4,PN,3477473.0,hold
brazil,C A Modas SA,C A Modas SA,BRCEABACNOR1,BRL,CEAB3,ON,3459975.0,strong_buy
brazil,MULTIPLAN ON,Multiplan SA,BRMULTACNOR5,BRL,MULT3,ON,3419525.0,strong_buy
brazil,RANDON PART PN,Randon Participacoes SA,BRRAPTACNPR4,BRL,RAPT4,PN,3317271.0,buy
brazil,FLEURY ON,Fleury SA,BRFLRYACNOR5,BRL,FLRY3,ON,3272385.0,hold
brazil,COPASA ON,Cia de Saneamento de Minas Gerais,BRCSMGACNOR5,BRL,CSMG3,ON,3225109.0,hold
brazil,OI ON N1,Oi SA,BROIBRACNOR1,BRL,OIBR3,ON,2988556.0,none
brazil,HYPERMARCAS ON,Hypermarcas SA,BRHYPEACNOR0,BRL,HYPE3,ON,2961940.0,buy
brazil,TOTVS ON,Totvs SA,BRTOTSACNOR8,BRL,TOTS3,ON,2913001.0,buy
brazil,Vivara,Vivara Participacoes SA,BRVIVAACNOR0,BRL,VIVA3,ON,2817040.0,buy
brazil,SANTANDER BR UNT,Banco Santander Brasil SA Unit,BRSANBCDAM13,BRL,SANB11,FII/Unit,2790137.0,buy
brazil,SABESP ON,Cia de Saneamento Basico do Estado,BRSBSPACNOR5,BRL,SBSP3,ON,2685251.0,buy
brazil,JHSF PART ON,JHSF Participacoes SA,BRJHSFACNOR2,BRL,JHSF3,ON,2642679.0,none
brazil,Azevedo & Travassos Pref,Azevedo & Travassos SA Pref,BRAZEVACNPR7,BRL,AZEV4,PN,2449045.0,none
brazil,PORTO SEGURO ON,Porto Seguro SA,BRPSSAACNOR7,BRL,PSSA3,ON,2438887.0,buy
brazil,GRENDENE ON,Grendene SA,BRGRNDACNOR3,BRL,GRND3,ON,2332057.0,none
brazil,Energisa,Energisa SA,BRENGICDAM16,BRL,ENGI11,FII/Unit,2239217.0,buy
brazil,SLC AGRICOLA ON,SLC Agricola SA,BRSLCEACNOR2,BRL,SLCE3,ON,2100510.0,hold
brazil,KLABIN S/A PN,Klabin SA,BRKLBNACNPR9,BRL,KLBN4,PN,2016123.0,none
brazil,SAO MARTINHO ON,Sao Martinho SA,BRSMTOACNOR3,BRL,SMTO3,ON,1973764.0,buy
brazil,ALPARGATAS PN,Alpargatas SA,BRALPAACNPR7,BRL,ALPA4,PN,1767434.0,buy
brazil,ODONTOPREV ON,Odontoprev SA,BRODPVACNOR4,BRL,ODPV3,ON,1761775.0,hold
brazil,Tesla Motors DRC,Tesla Motors Inc DRC,BRTSLABDR008,BRL,TSLA34,BDR,1760219.0,none
brazil,HELBOR ON,Helbor Empreendimentos SA,BRHBORACNOR3,BRL,HBOR3,ON,1712373.0,none
brazil,PDG REALT ON,PDG Realty SA,BRPDGRACNOR8,BRL,PDGR3,ON,1684093.0,none
brazil,Tenda,Construtora Tenda SA,BRTENDACNOR4,BRL,TEND3,ON,1682443.0,buy
brazil,QUALICORP ON,Qualicorp SA,BRQUALACNOR6,BRL,QUAL3,ON,1618514.0,none
brazil,TAESA UNT,TAESA UNT N2,BRTAEECDAM10,BRL,TAEE11,FII/Unit,1617939.0,underperform
brazil,Azevedo Travassos,Azevedo & Travassos SA,BRAZEVACNOR0,BRL,AZEV3,ON,1504764.0,none
brazil,ELETROBRAS PNB,Centrais Eletricas Brasileiras SA,BRELETACNPB7,BRL,ELET6,PNB,1503265.0,strong_buy
brazil,BANCO PAN SA PN,Banco Pan SA,BRBPANACNPR1,BRL,BPAN4,PN,1416354.0,none
brazil,Parana Sanepar Unit,Companhia de Saneamento do Parana Sanepar Unit,BRSAPRCDAM13,BRL,SAPR11,FII/Unit,1335117.0,hold
brazil,LIGHT S/A ON,Light SA,BRLIGTACNOR2,BRL,LIGT3,ON,1314273.0,underperform
brazil,ENGIE BRASILON NM,Engie Brasil Energia SA,BREGIEACNOR9,BRL,EGIE3,ON,1287476.0,none
brazil,CPFL ENERGIAON NM,CPFL Energia SA,BRCPFEACNOR0,BRL,CPFE3,ON,1264025.0,hold
brazil,Companhia de Saneamento,Companhia de Saneamento do Parana Sanepar,BRSAPRACNPR6,BRL,SAPR4,PN,1240284.0,none
brazil,Camil Alimentos,Camil Alimentos SA,BRCAMLACNOR3,BRL,CAML3,ON,1223657.0,buy
brazil,BANRISUL PNB,BANRISUL PNB N1,BRBRSRACNPB4,BRL,BRSR6,PNB,1199956.0,none
brazil,KEPLER WEBER ON,Kepler Weber SA,BRKEPLACNOR1,BRL,KEPL3,ON,1187409.0,none
brazil,NEOENERGIA,NEOENERGIA SA,BRNEOEACNOR3,BRL,NEOE3,ON,1174829.0,none
brazil,EZTEC ON,Ez Tec SA,BREZTCACNOR0,BRL,EZTC3,ON,1159337.0,hold
brazil,Alupar Invest Unit,Alupar Investimento SA Unit,BRALUPCDAM15,BRL,ALUP11,FII/Unit,1130665.0,buy
brazil,FII MAXI REN,FII MAXI REN,BRMXRFCTF008,BRL,MXRF11,FII/Unit,1087275.0,none
brazil,DASA ON,Diagnosticos da America SA,BRDASAACNOR1,BRL,DASA3,ON,1043684.0,hold
brazil,Vulcabras Azaleia,Vulcabras Azaleia SA,BRVULCACNOR2,BRL,VULC3,ON,832028.0,strong_buy
brazil,POSITIVO INF ON,Positivo Informatica SA,BRPOSIACNOR9,BRL,POSI3,ON,817184.0,none
brazil,Guararapes Confeccoes ON,Guararapes Confeccoes SA,BRGUARACNOR4,BRL,GUAR3,ON,799437.0,none
brazil,IOCHP-MAXION ON,Iochpe-Maxion SA,BRMYPKACNOR7,BRL,MYPK3,ON,763031.0,buy
brazil,MILLS ON,MILLS ON EJ NM,BRMILSACNOR2,BRL,MILS3,ON,760195.0,buy
brazil,IRB Brasil Resseguros,IRB Brasil Resseguros SA,BRIRBRACNOR4,BRL,IRBR3,ON,747432.0,buy
brazil,Ser Educa ON,Ser Educa ON,BRSEERACNOR5,BRL,SEER3,ON,662726.0,buy
brazil,M.DIASBRANCO ON,M Dias Branco SA,BRMDIAACNOR7,BRL,MDIA3,ON,639464.0,none
brazil,Celulose Irani,Celulose Irani SA,BRRANIACNOR5,BRL,RANI3,ON,636934.0,strong_buy
brazil,Tupy ON,Tupy ON,BRTUPYACNOR1,BRL,TUPY3,ON,592779.0,none
brazil,FERBASA PN,Cia de Ferro Ligas da Bahia Ferbasa,BRFESAACNPR5,BRL,FESA4,PN,561470.0,none
