country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3,ON,38072384.0,hold
brazil,Azul SA Pref,Azul SA Pref,BRAZULACNPR4,BRL,AZUL4,PN,36801435.0,hold
brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,BRL,PETR4,PN,29726227.0,buy
brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,BRL,BBDC4,PN,29400490.0,buy
brazil,B3 SA Brasil Bolsa Balcao,B3 SA Brasil Bolsa Balcao,BRB3SAACNOR6,BRL,B3SA3,ON,28863769.0,buy
brazil,Cogna Educacao,Cogna Educacao,BRCOGNACNOR2,BRL,COGN3,ON,28862335.0,buy
brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3,ON,27966244.0,hold
brazil,COSAN ON,Cosan SA Industria e Comercio,BRCSANACNOR6,BRL,CSAN3,ON,27960121.0,buy
brazil,MAGAZ LUIZA ON,Magazine Luiza SA,BRMGLUACNOR2,BRL,MGLU3,ON,23418515.0,hold
brazil,ITAUSA PN,Itausa - Investimentos Itau SA,BRITSAACNPR7,BRL,ITSA4,PN,21293020.0,strong_buy
brazil,VALE ON,Vale SA,BRVALEACNOR0,BRL,VALE3,ON,20228000.0,buy
brazil,ITAUUNIBANCOPN EB N1,Itau Unibanco Banco Holding SA,BRITUBACNPR1,BRL,ITUB4,PN,20189107.0,buy
brazil,LOJAS RENNER ON,Lojas Renner SA,BRLRENACNOR1,BRL,LREN3,ON,14661504.0,buy
brazil,Grupo Vamos,Grupo Vamos SA,BRVAMOACNOR7,BRL,VAMO3,ON,13811141.0,none
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3,ON,13726924.0,buy
brazil,USIMINAS PNA,Usinas Siderurgicas de Minas Gerais,BRUSIMACNPA6,BRL,USIM5,PNA,12886144.0,hold
brazil,BRF SA ON,BRF SA,BRBRFSACNOR8,BRL,BRFS3,ON,12722078.0,buy
brazil,MINERVA ON,Minerva SA/Brazil,BRBEEFACNOR6,BRL,BEEF3,ON,11722756.0,buy
brazil,PDG REALT ON,PDG Realty SA,BRPDGRACNOR8,BRL,PDGR3,ON,11695086.0,none
brazil,NATURA ON,Natura Cosmeticos SA,BRNATUACNOR6,BRL,NATU3,ON,11659343.0,buy
brazil,RAIADROGASIL ON,Raia Drogasil SA,BRRADLACNOR0,BRL,RADL3,ON,11110612.0,buy
brazil,COPEL PNB,Cia Paranaense de Energia,BRCPLEACNPB9,BRL,CPLE6,PNB,11031921.0,strong_buy
brazil,FINOR,FI do Nordeste FINOR,BRFNORCTF013,BRL,FNOR11,FII/Unit,10952230.0,none
brazil,CVC BRASIL ON NM,Cvc Brasil ON,BRCVCBACNOR1,BRL,CVCB3,ON,10585896.0,buy
brazil,PETROBRAS ON,Petroleo Brasileiro SA,BRPETRACNOR9,BRL,PETR3,ON,9888678.0,none
brazil,CEMIG PN,CEMIG - Companhia Energetica Minas Gerais Pref,BRCMIGACNPR3,BRL,CMIG4,PN,9805489.0,hold
brazil,WEG ON,WEG SA,BRWEGEACNOR0,BRL,WEGE3,ON,9764744.0,hold
brazil,ENEVA ON NM,Eneva SA,BRENEVACNOR8,BRL,ENEV3,ON,9517852.0,buy
brazil,MRV ON,MRV Engenharia e Participacoes SA,BRMRVEACNOR2,BRL,MRVE3,ON,9418972.0,buy
brazil,GERDAU PN N1,Gerdau SA Pref,BRGGBRACNPR8,BRL,GGBR4,PN,9293980.0,buy
brazil,MARCOPOLO PN,Marcopolo SA,BRPOMOACNPR7,BRL,POMO4,PN,8960647.0,strong_buy
